Day of Date,Calculation1,Avg. Irradiance
"November 17, 1978","1,366.489177099","1,365.341552734"
"November 18, 1978","1,366.493130891","1,365.236572266"
"November 20, 1978","1,366.495623284","1,365.951904297"
"November 21, 1978","1,366.497945806","1,366.066650391"
"November 22, 1978","1,366.500898229","1,366.062255859"
"November 24, 1978","1,366.502634901","1,365.895385742"
"November 25, 1978","1,366.504264065","1,366.279541016"
"November 26, 1978","1,366.506521125","1,366.465332031"
"November 28, 1978","1,366.504774803","1,365.893066406"
"November 29, 1978","1,366.503270467","1,366.149047852"
"November 30, 1978","1,366.502364243","1,366.286254883"
"December 2, 1978","1,366.499908762","1,365.845336914"
"December 3, 1978","1,366.496371069","1,365.903442383"
"December 4, 1978","1,366.492682009","1,365.872558594"
"December 6, 1978","1,366.486787903","1,366.040039063"
"December 7, 1978","1,366.481270222","1,366.526611328"
"December 8, 1978","1,366.474323522","1,366.516357422"
"December 10, 1978","1,366.466679687","1,364.568725586"
"December 11, 1978","1,366.462245656","1,364.529296875"
"December 12, 1978","1,366.456491603","1,364.490234375"
