Measurement colour,Measurement colour 2,Month of Date,Measure One,Measure Two
,Cosmic Rays,November 1978,,"8,937.285714286"
,Cosmic Rays,December 1978,,"8,895"
,Cosmic Rays,January 1979,,"8,861.333333333"
,Cosmic Rays,February 1979,,"8,814.8"
,Cosmic Rays,March 1979,,"8,783.454545455"
,Cosmic Rays,April 1979,,"8,773.333333333"
,Cosmic Rays,May 1979,,"8,764.692307692"
,Cosmic Rays,June 1979,,"8,744.615384615"
,Cosmic Rays,July 1979,,"8,714.384615385"
,Cosmic Rays,August 1979,,"8,696.230769231"
,Cosmic Rays,September 1979,,"8,689.769230769"
,Cosmic Rays,October 1979,,"8,680.307692308"
,Cosmic Rays,November 1979,,"8,683.307692308"
,Cosmic Rays,December 1979,,"8,659.076923077"
,Cosmic Rays,January 1980,,"8,646.076923077"
,Cosmic Rays,February 1980,,"8,638.230769231"
,Cosmic Rays,March 1980,,"8,645.538461538"
,Cosmic Rays,April 1980,,"8,638.538461538"
,Cosmic Rays,May 1980,,"8,607.538461538"
,Cosmic Rays,June 1980,,"8,575.307692308"
