Selectivity Bands,Unitid,Name,State,Calculated Mean SAT CR+M,Full-pay/Pell Spread,Percent Full-pay,Percent of FTFEUG with institutional grant aid,Percent of undergraduate students with Pell grants
Under 15%,110404,California Institute of Technology,California,1525,32,43,57,11%
Under 15%,112260,Claremont McKenna College,California,1410,44,58,42,14%
Under 15%,121345,Pomona College,California,1445,28,45,55,17%
Under 15%,130794,Yale University,Connecticut,1495,32,46,54,14%
Under 15%,144050,University of Chicago,Illinois,1485,25,41,59,16%
Under 15%,164465,Amherst College,Massachusetts,1425,26,47,53,21%
Under 15%,166027,Harvard University,Massachusetts,1500,28,39,61,11%
Under 15%,166683,Massachusetts Institute of Technology,Massachusetts,1490,23,43,57,20%
Under 15%,178697,College of the Ozarks,Missouri,1060,-62,0,100,62%
Under 15%,182670,Dartmouth College,New Hampshire,1455,44,59,41,15%
Under 15%,186131,Princeton University,New Jersey,1500,28,40,60,12%
Under 15%,190150,Columbia University in the City of New York,New York,1485,29,50,50,21%
Under 15%,190372,Cooper Union for the Advancement of Science and Art,New York,1380,-21,0,100,21%
Under 15%,198419,Duke University,North Carolina,1440,37,51,49,14%
Under 15%,215062,University of Pennsylvania,Pennsylvania,1445,39,53,47,14%
Under 15%,216287,Swarthmore College,Pennsylvania,1450,27,42,58,15%
Under 15%,217156,Brown University,Rhode Island,1425,41,56,44,15%
Under 15%,220181,Fisk University,Tennessee,960,-30,30,70,60%
Under 15%,221999,Vanderbilt University,Tennessee,1480,24,39,61,15%
Under 15%,237905,West Virginia University Hospital Departments of Rad Tech and Nutrition,West Virginia,895,86,100,0,14%
