Original Title,Based On Novel,Profit Adj,Ratings
1,False,0,8
2 Days in Paris,False,"20,797,965",6
2 Guns,False,"66,402,591",7
2-Headed Shark Attack,False,0,3
2:37,False,"-919,419",7
3 Days to Kill,False,"-25,790,549",6
3 Idiots,False,"62,000,426",8
3 Nights in the Desert,False,0,4
3-Headed Shark Attack,False,0,4
"3, 2, 1... Frankie Go Boom",False,0,5
3:10 to Yuma,False,"15,792,087",7
4: Rise of the Silver Surfer,False,"167,265,535",5
5 Days of War,False,"-19,371,017",6
5 Flights Up,False,"-4,586,185",6
5 to 7,False,0,7
6 Days to Air: The Making of South Park,False,0,7
7 Days in Hell,False,0,6
7 Minutes,False,0,5
9,False,"18,730,291",7
10 Items or Less,False,"627,938",7
