Unnamed: 0,Arrest,Arrest.1
Type of the Crime 1,False,True
THEFT,"210,952","26,778"
BATTERY,"144,856","44,932"
CRIMINAL DAMAGE,"101,975","7,508"
NARCOTICS,"1,049","104,861"
ASSAULT,"48,478","16,032"
OTHER OFFENSE,"48,636","13,701"
BURGLARY,"57,341","3,391"
DECEPTIVE PRACTICE,"42,600","7,184"
MOTOR VEHICLE THEFT,"40,068","2,934"
ROBBERY,"36,153","4,069"
CRIMINAL TRESPASS,"7,453","19,712"
WEAPONS VIOLATION,"2,220","10,006"
PUBLIC PEACE VIOLATION,"2,377","8,018"
OFFENSE INVOLVING CHILDREN,"6,577","1,333"
PROSTITUTION,31,"5,910"
INTERFERENCE WITH PUBLIC OFFICER,254,"4,503"
CRIM SEXUAL ASSAULT,"4,041",576
SEX OFFENSE,"2,479",892
Other,"1,690",472
