Income and Australia,Country,Rank by GDP,Ratio by GDP per capita
Australia,Australia,74,0.81
Low income,Pakistan,1,512.06
Low income,Ethiopia,2,336.36
Low income,Kenya,3,295.11
Low income,Chad,4,199.01
Low income,South Sudan,5,176.43
Low income,"Congo, Dem. Rep.",6,153.38
Low income,Uganda,7,151.8
Low income,Jordan,8,116.73
Low income,Bangladesh,9,111.35
Low income,Yemen,10,95.29
Low income,Burundi,11,79.71
Low income,Liberia,12,78.85
Low income,Niger,13,74.51
Low income,Iran,14,70.23
Low income,Sudan,15,67.06
Low income,United Rep. of Tanzania,16,63.33
Low income,Lebanon,17,62.3
Low income,Rwanda,18,52.67
Low income,Cameroon,19,47.91
