Club,Unnamed: 1
Beta Alpha Psi,8.4
Phi Chi Theta,5.7
Stern Investment Analysis Group,5.7
Supporting Excellence & Advocating Diversity,5.2
Marketing Society,5.0
Inter-Club Council,4.6
Delta Sigma Pi,4.5
Actuarial Society,3.9
Quantitative Finance Society,3.8
Finance Society,3.7
Undergraduate Stern Women in Business,3.6
Alpha Kappa Psi,3.4
Undergraduate Latin American Business Association,3.3
Management Consulting Group,3.3
Pride Corp,3.2
Stern Real Estate Group,3.2
Stern Accounting Society,3.2
Stern Political Economy Exchange,3.0
Business Analytics Club,2.8
Stern Cares,2.8
