Year,Total Deaths,Total Injuries
-4360,,
-4350,,
-4050,,
-4000,,
-3580,,
-3550,,
-2040,,
-1900,,
-1890,,
-1860,,
-1750,,
-1645,,
-1610,,
-1550,,
-1460,,
-1370,,
-1050,,
-250,,
-197,,
-150,,
-141,40,
-100,,
-50,,
46,,
50,,
60,,
79,"3,500",
200,,
230,,
240,,
350,,
416,,
450,"30,000",
500,,
540,,
590,,
640,,
710,,
764,80,
766,,
787,,
800,,
920,,
930,,
934,,
950,,
1000,,
1050,,
1104,,
1151,,
1158,,
1169,"16,000",
1177,,
1206,,
1250,,
1262,,
1280,,
1300,,
1302,,
1311,,
1329,,
1331,,
1334,,
1341,,
1357,,
1362,220,
1376,,
1385,,
1389,,
1410,180,
1452,,
1471,,
1477,,
1485,1,
1500,,
1510,1,
1536,1,
1538,24,
1540,,
1550,,
1564,,
1565,,
1566,,
1570,400,
1576,,
1580,10,
1581,,
1586,"10,000",
1587,,
1593,,
1595,636,
1596,,
1597,,
1598,800,
1600,"1,400",
1606,,
1608,,
1609,,
1615,,
1617,,
1625,,
1629,4,
1630,200,
1631,"4,050",
1636,,
1638,"1,000",
1640,700,
1646,,
1650,120,
1659,,
1660,"2,003",
1663,5,
1664,31,
1669,,
1670,,
1672,"3,003",
1673,,
1677,1,
1679,,
1682,4,
1684,1,
1690,,
1692,,
1693,,
1694,,
1698,,
1706,,
1707,,
1711,"3,000",
1712,,
1714,,
1716,1,31
1717,1,30
1718,2,
1721,15,
1726,,
1727,3,
1729,,
1730,,
1737,2,
1741,"1,475",
1742,,
1749,,
1753,,
1754,12,
1755,2,
1757,"1,053",
1760,"2,000",
1762,,
1766,49,
1768,,
1772,"2,992",
1773,,
1775,"1,300",
1778,15,
1779,153,
1780,7,
1781,38,
1783,"1,491",
1784,"9,350",
1785,135,
1786,38,
1789,,
1790,"5,405",
1792,"14,524",707
1794,400,
1800,11,
1801,8,
1803,,
1804,,
1805,4,
1812,"1,009",
1814,"1,200",
1815,"117,000",
1816,1,
1817,,
1818,,
1819,,
1820,,
1822,"4,161",53
1823,,
1824,,
1825,,
1826,,65
1827,,
1829,,
1832,32,
1833,126,
1835,,
1837,,
1838,4,
1839,,
1840,,
1841,,
1843,60,
1845,"1,118",
1846,,
1847,,
1848,21,
1850,,
1853,59,
1854,3,
1856,"2,826",
1857,,
1858,,
1860,,
1861,432,47
1863,,
1864,54,
1866,,
1867,3,
1868,77,
1869,10,
1870,,
1871,404,1
1872,213,11
1873,,
1874,1,
1875,,
1877,340,
1878,1,
1879,,
1883,"36,425",
1884,74,
1885,,
1886,155,
1887,15,
1888,461,70
1889,,
1890,,
1892,"1,712",
1893,2,
1894,10,
1895,25,
1896,1,1
1897,350,
1899,57,
1900,99,13
1901,,
1902,"32,344",45
1903,4,
1904,1,
1905,1,1
1906,350,300
1907,1,
1909,221,
1910,1,
1911,"1,336",199
1912,22,
1913,159,
1914,74,112
1916,,
1917,327,3
1918,,
1919,"5,114",
1920,33,
1923,2,
1924,1,
1926,146,207
1927,1,
1928,319,200
1929,202,4
1930,"1,381",20
1931,3,
1932,2,7
1933,19,26
1936,2,
1937,510,
1938,,
1939,12,
1940,12,22
1941,1,1
1943,4,
1944,146,250
1946,7,
1947,12,
1948,104,
1949,17,
1950,7,1
1951,"3,949",
1952,43,
1953,76,58
1954,27,
1955,2,
1956,,
1957,19,53
1958,1,10
1960,,
1961,1,
1962,10,16
1963,"1,198",624
1964,137,3
1965,355,
1966,254,"1,086"
1967,6,
1968,458,152
1969,5,10
1970,,
1971,28,
1972,3,
1973,15,
1974,15,
1975,84,
1976,122,5
1977,1,
1978,4,2
1979,163,34
1980,57,
1981,200,
1982,"1,981",
1983,1,
1984,38,
1985,"23,080","10,000"
1986,"1,703",300
1987,127,22
1988,6,
1990,79,
1991,451,4
1992,14,
1993,87,27
1994,64,5
1995,,20
1996,6,
1997,27,
1998,,
1999,,
2000,3,
2001,1,
2002,100,32
2003,,
2004,,
2005,,
2006,"1,276",
2007,7,
2008,13,2
2009,,
2010,333,432
2011,14,1
2012,,
2013,11,9
2014,79,73
