Company,Club,% of Total Number of Records along Club,Number of Records
JPM,No Club,40.68%,24.0
JPM,Club,59.32%,35.0
Barclays,No Club,30.77%,12.0
Barclays,Club,69.23%,27.0
Morgan Stanley,No Club,61.76%,21.0
Morgan Stanley,Club,38.24%,13.0
Goldman Sachs,No Club,38.46%,10.0
Goldman Sachs,Club,61.54%,16.0
Credit Suisse,No Club,13.04%,3.0
Credit Suisse,Club,86.96%,20.0
BAML,No Club,47.37%,9.0
BAML,Club,52.63%,10.0
Evercore,No Club,23.53%,4.0
Evercore,Club,76.47%,13.0
Lazard,No Club,33.33%,2.0
Lazard,Club,66.67%,4.0
Greenhill,No Club,60.00%,3.0
Greenhill,Club,40.00%,2.0
