month,sales,sales_with_solution
Jan-16,464524,464524
Feb-16,478708,478708.47
Mar-16,494771,494770.93
Apr-16,517319,517318.58
May-16,527665,527664.95
Jun-16,539298,539297.82
Jul-16,557231,557231.18
Aug-16,568685,568685.24
Sep-16,650852,650852.23
Oct-16,678871,678871.49
Nov-16,697926,697926.06
Dec-16,702872,702871.65
Jan-17,728249,728248.54
Feb-17,750913,750913.45
Mar-17,776550,776549.98
Apr-17,812394,812394.23
May-17,828642,828642.12
Jun-17,846661,846660.63
Jul-17,874437,874436.87
Aug-17,892926,892925.62
Sep-17,1040035,1040034.83
Oct-17,1085416,1085416.07
Nov-17,1116515,1116514.76
Dec-17,1125077,1125076.93
Jan-18,1166352,1166351.76
Feb-18,1100503,1203958.45
Mar-18,1076224,1248360.48
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
