"Month of Date,Sales with Solution,Sales"
"January 2016,,""$464,524"""
"January 2016,""464,524"","
"February 2016,,""$478,708"""
"February 2016,""478,708.47"","
"March 2016,,""$494,771"""
"March 2016,""494,770.93"","
"April 2016,,""$517,319"""
"April 2016,""517,318.58"","
"May 2016,,""$527,665"""
"May 2016,""527,664.95"","
"June 2016,,""$539,298"""
"June 2016,""539,297.82"","
"July 2016,,""$557,231"""
"July 2016,""557,231.18"","
"August 2016,,""$568,685"""
"August 2016,""568,685.24"","
"September 2016,,""$650,852"""
"September 2016,""650,852.23"","
"October 2016,,""$678,871"""
"October 2016,""678,871.49"","
