Carrier Name,Unnamed: 1
Southwest Airlines Co.,"9,867,331"
Delta Air Lines Inc.,"6,686,569"
American Airlines Inc.,"5,511,132"
SkyWest Airlines Inc.,"5,113,195"
ExpressJet Airlines Inc.,"4,297,039"
United Air Lines Inc.,"4,039,615"
JetBlue Airways,"2,075,358"
US Airways Inc.,"2,011,336"
American Eagle Airlines Inc.,"1,645,542"
Alaska Airlines Inc.,"1,361,181"
AirTran Airways Corporation,"823,291"
Envoy Air,"782,171"
Frontier Airlines Inc.,"728,047"
Mesa Airlines Inc.,"638,097"
Hawaiian Airlines Inc.,"604,921"
Spirit Air Lines,"531,446"
Atlantic Southeast Airlines,"466,587"
Virgin America,"389,059"
Continental Air Lines Inc.,"345,492"
Endeavor Air Inc.,"285,059"
