Unnamed: 0,Time Of Infraction ,Time Of Infraction .1,Time Of Infraction .2,Time Of Infraction .3,Time Of Infraction .4,Time Of Infraction .5,Time Of Infraction .6,Time Of Infraction .7,Time Of Infraction .8,Time Of Infraction .9,Time Of Infraction .10,Time Of Infraction .11,Time Of Infraction .12,Time Of Infraction .13,Time Of Infraction .14,Time Of Infraction .15,Time Of Infraction .16,Time Of Infraction .17,Time Of Infraction .18,Time Of Infraction .19,Time Of Infraction .20,Time Of Infraction .21,Time Of Infraction .22,Time Of Infraction .23
Infraction Description,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
FAIL ANGLE PARK/STOP AT 45 DEG,,,,,,,,,,,,,1,,,,,,,,,,,
FAIL TO PARK/STOP PAR TO CURB,,,,,,,,,,,,,,,,,,,,,,1,,
FAIL TO PARK/STOP PARA RH HWY,,,,,,,,,,,,,,,1,,,,,,,,,
FAIL TO PARK/STOP PARALLEL TO,,,,,,,,,,,,,,,,,,,1,,,,,
LEAVE IN PARK NOT DESIG AREA,,,,,,,,,,,,,,,1,,,,,,,,,
PARALLEL PARK-METERED SPACE-RE,,,,,,,,,,,,,,,,,1,,,,,,,
PARK - 3 M OF FIRE HYDRANT,,,,,,,,,,,,,,,,,,1,,,,,,
PARK - OBSTRUCT DRIVEWAY/LANE,,,,,,,,,,,,,,,,,,,,,,,1,
PARK 9M OF INTERSECTING HWY,,,,,,,,,,1,,,,,,,,,,,,,,
PARK BUS PK SPC/MCHINE-NOFEEPD,,,,,,,,,,,,,,,,,,,,,,,1,
PARK E-VEH. IN EV SP EXCESS TM,,,,,,,,,,,,,,,,,1,,,,,,,
PARK ELECT. VEH. EXCEED MAX TM,,,,,1,,,,,,,,,,,,,,,,,,,
PARK HWY OVER PERMITTED TIME,,,,,,,,,,,,,,,,,1,,,,,,,
PARK HWY PROHIBITED TIMES/DAYS,,,,,,,,,,,1,,,,,,,,,,,,,
PARK IN ELECTRIC VEHICLE SPACE,,,,,,,,,,,1,,,,,,,,,,,,,
PARK MACHINE-FAIL TO ACTIVATE,,,,,,,,,,,,,,,,,,1,,,,,,
PARK MOTORCYCLE-MCHNE LT 45DEG,,,,,,,,,,,,,,,,1,,,,,,,,
PARK MOTORCYCLE-METER-GT 60DEG,,,,,,,,,,,,,,,,,1,,,,,,,
PARK MUN PROP NO CONSENT,,,,,,,1,,,,,,,,,,,,,,,,,
