Unnamed: 0,Month of Date Of Infraction,Month of Date Of Infraction.1,Month of Date Of Infraction.2,Month of Date Of Infraction.3,Month of Date Of Infraction.4,Month of Date Of Infraction.5,Month of Date Of Infraction.6,Month of Date Of Infraction.7,Month of Date Of Infraction.8,Month of Date Of Infraction.9,Month of Date Of Infraction.10,Month of Date Of Infraction.11
Month of Date Of Infraction,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015
January,"178,851",,,,,,,,,,,
February,,"143,634",,,,,,,,,,
March,,,"190,925",,,,,,,,,
April,,,,"177,631",,,,,,,,
May,,,,,"184,904",,,,,,,
June,,,,,,"183,359",,,,,,
July,,,,,,,"197,849",,,,,
August,,,,,,,,"179,442",,,,
September,,,,,,,,,"180,209",,,
October,,,,,,,,,,"187,802",,
November,,,,,,,,,,,"182,195",
December,,,,,,,,,,,,"181,692"
