suffix,Variable,Dem Typ,2012,2013,2014,2015,2016,2017
%,SFUSD Cohort High School Graduation Rate,All,82.0,82.0,84.0,85.0,87.0,84.4
%,SFUSD Cohort High School Graduation Rate,African American/ Black,71.0,66.0,64.0,71.0,71.0,76.8
%,SFUSD Cohort High School Graduation Rate,American Indian/ Alaska Native,71.0,83.0,38.0,53.0,77.8,78.6
%,SFUSD Cohort High School Graduation Rate,Asian,90.0,89.0,92.0,92.0,95.0,93.9
%,SFUSD Cohort High School Graduation Rate,Filipino,84.0,86.0,89.0,90.0,91.0,89.0
%,SFUSD Cohort High School Graduation Rate,Hispanic/ Latino,67.0,69.0,69.0,73.0,75.0,70.3
%,SFUSD Cohort High School Graduation Rate,Mixed Race,78.0,73.0,90.0,94.0,90.9,85.2
%,SFUSD Cohort High School Graduation Rate,Native Hawaiian/ Pacific Islander,71.0,80.0,72.0,88.0,87.0,79.6
%,SFUSD Cohort High School Graduation Rate,White,82.0,83.0,87.0,85.0,84.0,84.4
%,SFUSD Cohort High School Graduation Rate,English Learner,,69.0,72.0,74.0,74.0,
