Level,Unnamed: 1,All,Asian,Black/ African American,Latino/a,White,Two or More Races,Native American,Other (Single Race),Pacific Islander
Master's Degree or Higher,Est,19.63%,13.50%,,10.40%,28.63%,,,,
Master's Degree or Higher,Est Lci,17.46%,10.35%,,5.38%,25.22%,,,,
Master's Degree or Higher,Est Uci,21.80%,16.64%,,15.42%,32.03%,,,,
Bachelor's Degree,Est,33.82%,28.14%,,21.29%,43.93%,40.17%,,,
Bachelor's Degree,Est Lci,30.93%,23.79%,,14.92%,39.82%,25.40%,,,
Bachelor's Degree,Est Uci,36.70%,32.50%,,27.65%,48.03%,54.94%,,,
Some College or Associate Degree,Est,20.67%,19.21%,38.72%,24.62%,18.03%,26.06%,,,
Some College or Associate Degree,Est Lci,18.55%,15.60%,26.15%,17.02%,14.93%,13.77%,,,
Some College or Associate Degree,Est Uci,22.78%,22.82%,51.29%,32.23%,21.14%,38.36%,,,
High School Gradute or Equivalent,Est,13.03%,16.30%,24.51%,19.56%,7.16%,,,,
High School Gradute or Equivalent,Est Lci,10.85%,11.83%,12.45%,12.08%,4.80%,,,,
High School Gradute or Equivalent,Est Uci,15.20%,20.76%,36.57%,27.05%,9.52%,,,,
Less than High School,Est,12.86%,22.85%,,24.12%,,,,,
Less than High School,Est Lci,10.95%,18.74%,,16.12%,,,,,
Less than High School,Est Uci,14.77%,26.97%,,32.13%,,,,,
