Level,Unnamed: 1,<200% FPL,>=200% FPL,All
Master's Degree or Higher,Est,8.18%,23.40%,19.63%
Master's Degree or Higher,Est Lci,5.22%,20.58%,17.46%
Master's Degree or Higher,Est Uci,11.15%,26.21%,21.80%
Bachelor's Degree,Est,18.24%,38.84%,33.82%
Bachelor's Degree,Est Lci,13.39%,35.70%,30.93%
Bachelor's Degree,Est Uci,23.09%,41.99%,36.70%
Some College or Associate Degree,Est,23.95%,19.64%,20.67%
Some College or Associate Degree,Est Lci,19.01%,17.20%,18.55%
Some College or Associate Degree,Est Uci,28.88%,22.08%,22.78%
High School Gradute or Equivalent,Est,20.67%,10.44%,13.03%
High School Gradute or Equivalent,Est Lci,14.94%,8.47%,10.85%
High School Gradute or Equivalent,Est Uci,26.39%,12.42%,15.20%
Less than High School,Est,28.96%,7.68%,12.86%
Less than High School,Est Lci,23.45%,5.89%,10.95%
Less than High School,Est Uci,34.47%,9.47%,14.77%
