Country,Category,Profit,Sales
Brazil,Furniture,"13,062","149,540"
Brazil,Office Supplies,"7,626","83,156"
Brazil,Technology,"9,403","128,411"
Indonesia,Furniture,"-1,377","140,038"
Indonesia,Office Supplies,"1,694","118,778"
Indonesia,Technology,"15,291","146,072"
United Kingdom,Furniture,"28,530","132,461"
United Kingdom,Office Supplies,"33,894","179,367"
United Kingdom,Technology,"49,476","216,748"
India,Furniture,"42,435","216,056"
India,Office Supplies,"30,544","131,335"
India,Technology,"56,093","242,259"
Mexico,Furniture,"10,384","215,726"
Mexico,Office Supplies,"38,680","160,697"
Mexico,Technology,"53,754","246,167"
Germany,Furniture,"17,579","160,633"
Germany,Office Supplies,"38,929","205,951"
Germany,Technology,"50,815","262,256"
China,Furniture,"46,115","276,612"
China,Office Supplies,"39,723","160,436"
