Unnamed: 0,Unnamed: 1,Segment,Segment.1,Segment.2
Country,Category,Consumer,Corporate,Home Office
Brazil,Furniture,"78,306","46,106","25,128"
Brazil,Office Supplies,"46,677","22,433","14,046"
Brazil,Technology,"66,729","33,798","27,884"
Indonesia,Furniture,"73,076","43,797","23,165"
Indonesia,Office Supplies,"55,711","42,135","20,932"
Indonesia,Technology,"82,453","42,973","20,646"
United Kingdom,Furniture,"67,089","43,581","21,791"
United Kingdom,Office Supplies,"92,028","54,493","32,846"
United Kingdom,Technology,"110,992","68,470","37,287"
India,Furniture,"110,887","66,772","38,396"
India,Office Supplies,"72,805","35,544","22,986"
India,Technology,"115,691","65,634","60,934"
Mexico,Furniture,"111,677","76,659","27,390"
Mexico,Office Supplies,"79,037","50,412","31,248"
Mexico,Technology,"130,385","71,716","44,067"
Germany,Furniture,"78,739","46,366","35,528"
Germany,Office Supplies,"118,188","55,821","31,942"
Germany,Technology,"146,568","72,708","42,980"
China,Furniture,"113,487","102,211","60,914"
