Feeling,Sentiment,Discursive Count,Tag Count
excited,POS,"363,864","218,847"
blessed,POS,"589,956","163,371"
happy,POS,"475,396","160,776"
sad,NEG,"525,343","144,224"
great,POS,"636,513","79,970"
wonderful,POS,"118,585","75,810"
loved,POS,"149,534","55,010"
annoyed,NEG,"81,430","47,569"
determined,POS,"63,541","47,097"
proud,POS,"161,094","46,578"
hopeful,POS,"71,007","46,333"
angry,NEG,"86,886","37,003"
awesome,POS,"109,404","31,822"
pissed,NEG,"33,516","20,975"
amused,POS,"25,430","20,498"
thankful,POS,"54,999","19,653"
special,POS,"43,008","18,773"
tired,NEU,"336,667","17,437"
worried,NEG,"23,536","11,583"
heartbroken,NEG,"17,083","11,018"
