Feeling,Tag Local1,Tag Local2,Tag Local3,Tag Localplural,Tag Regional1,Tag Regional2,Tag Regional3,Tag Regionalplural,Tag Std1,Tag Std2,Tag Std3,Tag Stdplural
excited,"13,660","3,224","1,360","17,091","2,196",331,122,"1,762","105,392","19,347","5,761","48,601"
blessed,"7,781","2,028",687,"7,131","4,055",319,92,"1,102","87,538","15,586","4,155","32,897"
sad,"3,852",700,128,"4,421","1,032",110,36,"1,188","87,165","12,633","2,572","30,387"
happy,"7,571","2,116",822,"7,166","2,338",403,144,"2,019","85,398","13,829","4,061","34,909"
great,"4,309","1,229",491,"4,444","1,018",201,58,846,"40,518","6,522","2,162","18,172"
wonderful,"4,484","1,217",523,"4,315",698,157,48,739,"40,081","6,439","1,745","15,364"
annoyed,"1,713",533,54,572,439,53,29,304,"38,059","1,653",267,"3,893"
loved,"2,135",788,141,"1,592",560,120,37,449,"28,332","6,678","1,282","12,896"
determined,"2,451",462,302,"2,125",734,161,43,480,"27,062","3,801",931,"8,545"
hopeful,"1,739",366,135,"1,387",593,37,19,387,"26,641","5,704",732,"8,593"
angry,681,66,24,488,386,13,4,127,"25,689","1,746","1,670","6,109"
proud,"2,015",607,251,"2,529",373,133,34,434,"20,818","5,326","1,460","12,598"
pissed,309,31,6,101,435,8,0,10,"18,879",558,90,548
awesome,"2,052",505,219,"1,965",504,56,15,337,"15,751","2,590",810,"7,018"
amused,788,256,91,442,165,55,5,196,"13,926","1,610",415,"2,549"
tired,"1,258",190,93,"1,230",268,20,18,76,"10,299","1,001",249,"2,735"
thankful,"1,090",237,82,614,300,42,4,68,"10,160","2,074",444,"4,538"
special,"1,404",258,90,"1,050",216,52,12,353,"9,512","1,696",444,"3,686"
worried,246,33,2,92,37,3,0,68,"6,955","1,957",256,"1,934"
sick,393,37,5,203,56,4,0,26,"6,673",500,715,994
