Unnamed: 0,Unnamed: 1,Month of Date,Month of Date.1,Month of Date.2,Month of Date.3,Month of Date.4,Month of Date.5,Month of Date.6,Month of Date.7,Month of Date.8,Month of Date.9,Month of Date.10,Month of Date.11,Month of Date.12,Month of Date.13,Month of Date.14,Month of Date.15,Month of Date.16,Month of Date.17,Month of Date.18,Month of Date.19,Month of Date.20,Month of Date.21,Month of Date.22,Month of Date.23,Month of Date.24,Month of Date.25,Month of Date.26,Month of Date.27,Month of Date.28,Month of Date.29,Month of Date.30,Month of Date.31,Month of Date.32,Month of Date.33,Month of Date.34,Month of Date.35,Month of Date.36,Month of Date.37,Month of Date.38,Month of Date.39,Month of Date.40,Month of Date.41,Month of Date.42,Month of Date.43,Month of Date.44,Month of Date.45,Month of Date.46,Month of Date.47,Month of Date.48,Month of Date.49,Month of Date.50,Month of Date.51,Month of Date.52,Month of Date.53,Month of Date.54,Month of Date.55
,,January 2013,February 2013,March 2013,April 2013,May 2013,June 2013,July 2013,August 2013,September 2013,October 2013,November 2013,December 2013,January 2014,February 2014,March 2014,April 2014,May 2014,June 2014,July 2014,August 2014,September 2014,October 2014,November 2014,December 2014,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017
Small Airports,Carrier Delays,"7,569","7,139","8,287","8,194","8,537","10,945","12,000","9,919","6,412","6,797","6,513","11,194","9,367","7,995","8,351","7,123","8,218","9,828","9,532","8,534","6,446","6,597","6,329","8,879","7,618","7,033","7,691","5,868","6,131","8,398","7,962","7,250","4,702","4,775","5,018","6,553","5,140","4,529","5,062","4,247","4,732","6,261","7,398","6,550","4,027","4,123","3,850","6,848","6,226","4,156","5,730","5,672","5,662","6,843","7,258","6,750"
Small Airports,Late Arrival Delays,"7,373","7,097","8,835","10,150","9,409","13,530","13,558","10,392","6,710","7,019","6,557","13,299","10,137","8,518","8,823","7,714","8,828","11,554","9,915","9,040","6,520","7,644","6,671","9,020","7,403","7,124","6,925","5,624","6,554","9,018","8,202","7,032","3,958","3,909","4,901","6,858","4,451","4,033","5,630","4,113","4,812","6,910","8,124","7,199","3,678","3,892","3,879","7,429","6,971","4,283","6,252","6,436","6,588","8,027","8,216","7,769"
Small Airports,NAS Delays,"5,627","5,334","6,584","5,883","5,517","6,750","6,926","5,298","3,903","4,117","4,174","7,703","5,561","5,159","4,827","4,217","4,510","6,028","5,376","5,554","4,663","4,836","4,747","5,432","5,296","5,241","4,431","3,523","3,622","4,542","4,238","3,972","2,876","2,954","3,484","4,033","3,419","2,929","3,720","2,391","2,813","3,291","3,763","3,629","2,499","2,053","2,245","4,247","4,171","2,727","3,501","3,176","3,301","4,162","4,144","3,983"
Small Airports,Security Delays,26,29,41,40,36,44,55,50,37,24,32,42,26,24,26,21,31,39,41,43,35,33,40,50,40,27,45,39,32,46,49,79,44,18,34,51,28,18,27,28,23,33,31,35,13,18,22,25,29,16,20,16,11,24,25,28
Small Airports,Weather Delays,874,727,669,913,956,"1,671","1,121",793,517,279,379,"1,418","1,448",673,456,495,573,"1,082",674,812,386,392,654,609,978,"1,155",519,680,801,959,702,675,430,215,473,766,473,326,415,251,403,668,802,556,291,139,238,621,632,311,344,709,295,599,745,490
Big Airports,Carrier Delays,"17,811","16,152","19,620","20,158","19,604","26,516","26,675","22,668","16,321","17,079","16,803","30,294","26,782","21,199","22,403","18,712","21,938","25,649","24,791","21,989","16,202","18,408","17,653","23,663","20,650","20,602","22,403","18,815","20,257","26,730","24,702","21,794","14,342","14,804","16,525","22,830","17,432","13,854","17,198","15,465","17,400","23,465","26,181","23,563","14,382","14,572","13,401","23,512","20,320","13,183","18,115","18,860","19,562","22,606","22,711","21,550"
Big Airports,Late Arrival Delays,"23,306","22,966","29,539","33,346","30,780","45,555","43,470","34,830","22,942","24,008","22,557","44,858","36,462","30,622","31,934","28,422","32,010","40,854","37,021","31,392","21,983","26,076","24,378","33,090","26,943","26,199","27,653","23,069","26,366","35,373","34,264","27,726","15,556","15,558","19,336","29,766","19,769","16,742","24,252","20,136","22,451","31,684","35,285","30,944","17,663","18,035","16,475","31,555","28,404","18,295","26,866","28,154","29,422","35,730","34,875","33,400"
Big Airports,NAS Delays,"23,549","22,135","26,056","30,359","28,047","33,941","35,350","26,572","18,638","21,015","18,939","32,432","25,582","24,656","23,880","23,570","25,658","31,122","26,697","25,589","23,405","26,974","22,646","27,946","24,583","24,289","23,852","22,478","22,934","27,150","24,830","22,633","16,456","16,830","19,152","23,285","18,274","17,461","24,347","18,528","20,630","25,232","28,327","28,016","19,406","19,864","17,734","26,622","28,201","19,646","26,092","26,785","30,213","29,721","28,503","27,933"
Big Airports,Security Delays,157,94,159,160,136,172,163,168,107,108,219,220,118,82,85,92,116,125,115,133,99,61,64,142,108,84,104,58,110,122,133,174,104,66,135,245,126,93,165,114,153,148,148,170,81,69,94,151,129,52,96,78,97,153,152,171
