Unnamed: 0,LEP area (group) 1,LEP area (group) 1.1,LEP area (group) 1.2
LEP area,Buckinghamshire ,GC&GP,Other
Thames Valley Berkshire,,,134.87
London,,,132.26
Enterprise M3,,,119.95
Swindon and Wiltshire,,,110.93
Cheshire and Warrington,,,105.96
Coast to Capital,,,104.50
Coventry and Warwickshire,,,104.41
Solent,,,103.40
Buckinghamshire ,99.81,,
Hertfordshire,,,99.79
West of England,,,98.34
South East Midlands,,,96.24
Oxfordshire,,,95.84
Greater Birmingham and Solihull,,,94.88
Grt Cam and Grt Peterborough,,93.38,
South East,,,92.59
Liverpool City Region,,,91.67
Tees Valley,,,90.88
New Anglia,,,90.62
