Unnamed: 0,LEP area (group),LEP area (group).1
LEP area,Buckinghamshire Thames Valley,Other
Coventry and Warwickshire,,3.8
Lancashire,,3.6
Enterprise M3,,3.3
Greater Birmingham and Solihull,,3.3
Heart of the South West,,3.0
Cheshire and Warrington,,2.9
Solent,,2.8
Cornwall and Isles of Scilly,,2.8
South East,,2.8
London,,2.7
Liverpool City Region,,2.6
The Marches,,2.5
Cumbria,,2.5
Thames Valley Berkshire,,2.5
New Anglia,,2.4
West of England,,2.4
Dorset,,2.2
"York, North Yorkshire and East Riding",,2.2
Sheffield City Region,,2.2
