Year of Release Date,Budget Adj,Profit
1960,,"797,740,716.246"
1960,"153,408,950.484",
1961,,"2,181,770,346.458"
1961,"281,851,552.482",
1962,,"1,202,944,838.724"
1962,"284,373,308.306",
1963,,"821,753,301.51"
1963,"435,149,762.24",
1964,,"2,071,667,860.542"
1964,"238,573,256.465",
1965,,"2,763,255,502.31"
1965,"406,929,145.22",
1966,,"352,485,423.57"
1966,"216,776,898.09",
1967,,"4,159,569,181.63"
1967,"624,260,937.15",
1968,,"1,054,889,553.318"
1968,"338,210,587.034",
1969,,"1,229,648,259.974"
1969,"135,791,288.56",
