GapChangeBin,State,Year,Black Avg,RefLineBlack,RefLineWhite,White Avg
Gap Narrowed,New Jersey,1990,240.573132541,237,270,278.821138709
Gap Narrowed,New Jersey,2015,268.70202558,260,292,301.265278439
Gap Narrowed,New York,1990,233.849998378,237,270,273.289395682
Gap Narrowed,New York,2015,264.073731052,260,292,289.51928785
Gap Narrowed,Rhode Island,1990,227.846473682,237,270,264.636840814
Gap Narrowed,Rhode Island,2015,258.309215001,260,292,290.407259679
Gap Similar,Connecticut,1990,240.0841994,237,270,277.215998501
Gap Similar,Connecticut,2015,256.423694884,260,292,294.808720554
Gap Similar,Massachusetts,1990,243.0,237,270,277.0
Gap Similar,Massachusetts,2015,267.997265221,260,292,303.516654099
Gap Widened,Pennsylvania,1990,235.82797881,237,270,271.768013536
Gap Widened,Pennsylvania,2015,253.219482734,260,292,292.459229365
