GapChangeBin,State,BlackMinusWhitePoverty,D_segr_2010,Gap
Gap Narrowed,Arkansas,18.93,78.0,27.320129028
Gap Narrowed,California,14.56,68.69,30.622614516
Gap Narrowed,Florida,16.54,69.55,27.166173527
Gap Narrowed,Georgia,15.04,69.02,27.477026524
Gap Narrowed,Illinois,21.57,80.7,29.496528815
Gap Narrowed,Louisiana,21.24,73.33,25.574032822
Gap Narrowed,Michigan,21.98,79.47,34.509166314
Gap Narrowed,Mississippi,22.27,72.9,27.159569964
Gap Narrowed,Missouri,16.42,78.3,27.677245024
Gap Narrowed,Nebraska,23.36,77.1,40.905615569
Gap Narrowed,New Jersey,14.08,74.8,32.56325286
Gap Narrowed,New York,13.51,81.9,25.445556797
Gap Narrowed,Ohio,21.73,75.8,31.902889492
Gap Narrowed,Oklahoma,17.41,70.43,20.917095101
Gap Narrowed,Rhode Island,18.87,70.72,32.098044678
Gap Narrowed,Texas,14.79,68.84,30.255138453
Gap Narrowed,West Virginia,15.14,76.0,16.251561539
Gap Similar,Alabama,18.52,73.6,28.428758458
Gap Similar,Arizona,13.36,61.5,28.3321174
Gap Similar,Colorado,15.89,71.63,37.09750293
